Temps Sain Incubation Infectes Quarantaine Hopital Morts Retablis Total
76.756 2117.6656222995 115.2726677722 480.5838201673 944.6411978080 355.6367155749 14131.8208255729 84473.6296368326 85868.1791744270
77.766 2106.4955883184 99.3940156220 420.0030192608 857.4161638468 322.1220147772 14143.0343216562 84671.6360070404 85856.9656783437
78.776 2096.7822691665 85.7748860917 366.9390001750 778.3106418078 291.2951938409 14152.6536748811 84849.0784747968 85847.3463251189
79.786 2088.3331642557 74.0807053469 320.4856313700 706.5478420593 263.0334143097 14160.9095887310 85008.0759902785 85839.0904112689
80.796 2080.9818468079 64.0285855376 279.8401058848 641.4300022319 237.1976757803 14167.9988540902 85150.5349635622 85832.0011459098
81.806 2074.5842762981 55.3790394914 244.2924954944 582.3294328898 213.6396985232 14174.0893991218 85278.1690933685 85825.9106008782
82.816 2069.0156693063 47.9290525414 213.2160462294 528.6807371042 192.2071685041 14179.3245797189 85392.5176997182 85820.6754202811
83.826 2064.1678359687 41.5062903344 186.0582449215 479.9740251347 172.7476759968 14183.8268254673 85494.9625876355 85816.1731745326
84.836 2059.9469063380 35.9642557518 162.3326573484 435.7489761772 155.1116172527 14187.7007386248 85586.7434934849 85812.2992613751
85.845 2056.2713846194 31.1782377633 141.6115181254 395.5896241262 139.1542777359 14191.0357288227 85668.9721819845 85808.9642711773
86.855 2053.0704801780 27.0419204862 123.5190387062 359.1197646691 124.7372735311 14193.9082536380 85742.6452722555 85806.0917463620
87.865 2050.2826730217 23.4645423726 107.7253911042 325.9988976921 111.7294931873 14196.3837245348 85808.6558769122 85803.6162754651
88.875 2047.8544785742 20.3685137468 93.9413199621 295.9186326483 100.0076541879 14198.5181286376 85867.8041403679 85801.4818713623
89.885 2045.7393823478 17.6874162988 81.9133333822 268.5994957987 89.4565653721 14200.3594091417 85920.8067621528 85799.6405908582
90.895 2043.8969198462 15.3643210284 71.4194227051 243.7880875394 79.9691680463 14201.9486406722 85968.3055888480 85798.0513593277
