Temps Sain Incubation Asymptotiques Benins Graves QuarantaineB QuarantaineG Hopital Morts RetablisTotal Total ConfinesGrave ConfinesAsymptotique ConfinesBenin ConfinesRetabli ConfinesTotal InfectesTotal InfectesConnu ConfinesSains
15.669 98600.3514230346 643.2636041934 208.6943859132 35.1301981294 53.3330986744 36.0345309713 0.0000000000 141.4812904275 20.7315292646 277.6777390505 99979.2684707353 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 474.6735041158 177.5158213988 0.0000000000 
16.649 98282.7560469181 786.4162754995 255.5310506612 42.9915631673 65.2407195665 44.2719052666 0.0000000000 173.3737882201 25.5921629838 344.4015412648 99974.4078370161 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 581.4090268817 217.6456934867 0.0000000000 
17.628 97895.4699203801 960.5375113384 312.6877971518 52.5793534182 79.7444357322 54.3347876625 0.0000000000 212.3262436496 31.5379118257 426.0981624771 99968.4620881742 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 711.6726176143 266.6610313122 0.0000000000 
18.607 97423.9100917579 1171.8827606232 382.3469676939 64.2543632287 97.3784915997 66.6208724919 0.0000000000 259.8527665628 38.8050094417 526.0570692191 99961.1949905583 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 870.4534615769 326.4736390547 0.0000000000 
19.587 96850.7895056909 1427.7536817340 467.1062587974 78.4442041234 118.7716241634 81.6088450266 0.0000000000 317.7657141199 47.6781913275 648.2593187748 99952.3218086725 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1063.6966462307 399.3745591466 0.0000000000 
20.566 96155.7861721024 1736.5639166995 570.0351833252 95.6513110118 144.6559879562 99.8723505317 0.0000000000 388.2217557895 58.4992130611 797.5071759495 99941.5007869389 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1298.4365886144 488.0941063212 0.0000000000 
21.546 95315.2596812765 2107.8477523040 694.7274597535 116.4596206024 175.8727095240 122.0950715080 0.0000000000 473.7684918129 71.6761481656 979.5703142949 99928.3238518344 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1582.9233532008 595.8635633209 0.0000000000 
22.525 94302.0716269990 2552.1735045229 845.3417108773 141.5383987130 213.3712912704 149.0862839344 0.0000000000 577.3876664981 87.6931508678 1201.3467202771 99912.3068491323 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1926.7253512932 726.4739504325 0.0000000000 
23.504 46786.6877298590 1317.8956997318 503.4822079476 83.4705206567 122.3837885545 162.8517094018 0.0000000000 929.6025537463 123.3448038607 697.2906233612 99876.6551961393 263.4652268000 967.7756087705 209.2752280833 884.4078702820 1440.5160636538 3242.3068439607 1092.4542631480 47027.2329491084 
24.484 46442.2948264695 1337.8264129831 573.2427124770 92.7503132969 128.8182920417 174.2213321655 29.7024743615 999.9998975944 148.8037725404 797.4044238379 99851.1962274596 84.0388213815 841.4231612427 181.9523269525 1191.9159950279 1107.4143095766 3106.1493315135 1203.9237041214 47027.2329491084 
25.463 46064.3849442723 1383.0601875684 636.3995794936 100.2381871315 133.4555369083 187.3037632632 48.1179636618 998.9143804764 169.6811406149 908.4349916378 99830.3188593851 26.8062832616 731.5672454022 158.1966943084 1474.4839105001 916.5702229722 3020.9996339071 1234.3361074015 47027.2329491084 
26.442 45656.7143617533 1444.8241460473 696.1395101959 106.9504941989 138.6536817129 201.6198850808 47.5504876783 997.3875288159 189.1184792425 1029.4914250577 99810.8815207575 8.5505342708 636.0540797985 137.5425888159 1738.1957221230 782.1472028852 2970.4487905678 1246.5579015750 47027.2329491084 
27.422 45220.9766249388 1518.0504446413 754.4560592683 113.4488659563 144.8979089276 216.9249356321 40.3762865099 998.8176650344 207.8840377953 1160.2669043100 99792.1159622047 2.7274066905 553.0110799396 119.5850761665 1986.6665723019 675.3235627967 2944.2452841253 1256.1188871764 47027.2329491084 
28.401 44757.9275422624 1599.5906057759 812.6161096449 120.0360191020 152.1296029053 233.1047897578 38.2647798798 998.4687941189 226.5145229511 1300.7526380433 99773.4854770489 0.8699745560 480.8101453147 103.9720901350 2222.7430628867 585.6522100057 2940.2723054144 1269.8383637565 47027.2329491084 
